hidden_size,activation,optimizer,batch_size,regularization,epochs,learning_rate,loss,best_f1
4,relu,adam,4,0.01,100,0.1,mse,72.22222222222221
4,relu,adam,4,0.01,100,0.1,hinge,0.0
4,relu,adam,4,0.01,100,0.1,log,
4,relu,adam,4,0.01,100,0.1,focal,
4,relu,adam,8,0.0001,5,0.001,mse,38.095238095238095
4,relu,adam,8,0.0001,5,0.001,hinge,0.0
4,relu,adam,8,0.0001,5,0.001,log,
4,relu,adam,8,0.0001,5,0.001,focal,
4,relu,adam,8,0.0001,5,0.01,mse,86.66666666666667
4,relu,adam,8,0.0001,5,0.01,hinge,0.0
4,relu,adam,8,0.0001,5,0.01,log,
4,relu,adam,8,0.0001,5,0.01,focal,
4,relu,adam,8,0.0001,5,0.1,mse,72.22222222222221
4,relu,adam,8,0.0001,5,0.1,hinge,0.0
4,relu,adam,8,0.0001,5,0.1,log,
4,relu,adam,8,0.0001,5,0.1,focal,
4,relu,adam,8,0.0001,10,0.001,mse,72.22222222222221
4,relu,adam,8,0.0001,10,0.001,hinge,0.0
4,relu,adam,8,0.0001,10,0.001,log,
4,relu,adam,8,0.0001,10,0.001,focal,
4,relu,adam,8,0.0001,10,0.01,mse,89.65517241379311
4,relu,adam,8,0.0001,10,0.01,hinge,26.666666666666668
4,relu,adam,8,0.0001,10,0.01,log,
4,relu,adam,8,0.0001,10,0.01,focal,
4,relu,adam,8,0.0001,10,0.1,mse,84.61538461538461
4,relu,adam,8,0.0001,10,0.1,hinge,0.0
4,relu,adam,8,0.0001,10,0.1,log,
4,relu,adam,8,0.0001,10,0.1,focal,
4,relu,adam,8,0.0001,20,0.001,mse,83.87096774193549
4,relu,adam,8,0.0001,20,0.001,hinge,72.22222222222221
4,relu,adam,8,0.0001,20,0.001,log,
4,relu,adam,8,0.0001,20,0.001,focal,
4,relu,adam,8,0.0001,20,0.01,mse,85.71428571428571
4,relu,adam,8,0.0001,20,0.01,hinge,0.0
4,relu,adam,8,0.0001,20,0.01,log,
4,relu,adam,8,0.0001,20,0.01,focal,
4,relu,adam,8,0.0001,20,0.1,mse,0.0
4,relu,adam,8,0.0001,20,0.1,hinge,0.0
4,relu,adam,8,0.0001,20,0.1,log,
4,relu,adam,8,0.0001,20,0.1,focal,
4,relu,adam,8,0.0001,30,0.001,mse,72.22222222222221
4,relu,adam,8,0.0001,30,0.001,hinge,0.0
4,relu,adam,8,0.0001,30,0.001,log,
4,relu,adam,8,0.0001,30,0.001,focal,
4,relu,adam,8,0.0001,30,0.01,mse,83.87096774193549
4,relu,adam,8,0.0001,30,0.01,hinge,72.22222222222221
4,relu,adam,8,0.0001,30,0.01,log,
4,relu,adam,8,0.0001,30,0.01,focal,
4,relu,adam,8,0.0001,30,0.1,mse,72.22222222222221
4,relu,adam,8,0.0001,30,0.1,hinge,0.0
4,relu,adam,8,0.0001,30,0.1,log,
4,relu,adam,8,0.0001,30,0.1,focal,
4,relu,adam,8,0.0001,50,0.001,mse,89.65517241379311
4,relu,adam,8,0.0001,50,0.001,hinge,72.22222222222221
4,relu,adam,8,0.0001,50,0.001,log,
4,relu,adam,8,0.0001,50,0.001,focal,
4,relu,adam,8,0.0001,50,0.01,mse,85.71428571428571
4,relu,adam,8,0.0001,50,0.01,hinge,0.0
4,relu,adam,8,0.0001,50,0.01,log,
4,relu,adam,8,0.0001,50,0.01,focal,
4,relu,adam,8,0.0001,50,0.1,mse,76.92307692307693
4,relu,adam,8,0.0001,50,0.1,hinge,0.0
4,relu,adam,8,0.0001,50,0.1,log,
4,relu,adam,8,0.0001,50,0.1,focal,
4,relu,adam,8,0.0001,80,0.001,mse,83.87096774193549
4,relu,adam,8,0.0001,80,0.001,hinge,0.0
4,relu,adam,8,0.0001,80,0.001,log,
4,relu,adam,8,0.0001,80,0.001,focal,
4,relu,adam,8,0.0001,80,0.01,mse,96.29629629629629
4,relu,adam,8,0.0001,80,0.01,hinge,0.0
4,relu,adam,8,0.0001,80,0.01,log,
4,relu,adam,8,0.0001,80,0.01,focal,
4,relu,adam,8,0.0001,80,0.1,mse,72.22222222222221
4,relu,adam,8,0.0001,80,0.1,hinge,0.0
4,relu,adam,8,0.0001,80,0.1,log,
4,relu,adam,8,0.0001,80,0.1,focal,
4,relu,adam,8,0.0001,100,0.001,mse,85.71428571428571
4,relu,adam,8,0.0001,100,0.001,hinge,74.28571428571429
4,relu,adam,8,0.0001,100,0.001,log,
4,relu,adam,8,0.0001,100,0.001,focal,
4,relu,adam,8,0.0001,100,0.01,mse,92.85714285714286
4,relu,adam,8,0.0001,100,0.01,hinge,13.333333333333334
4,relu,adam,8,0.0001,100,0.01,log,
4,relu,adam,8,0.0001,100,0.01,focal,
4,relu,adam,8,0.0001,100,0.1,mse,78.57142857142857
4,relu,adam,8,0.0001,100,0.1,hinge,0.0
4,relu,adam,8,0.0001,100,0.1,log,
4,relu,adam,8,0.0001,100,0.1,focal,
4,relu,adam,8,0.001,5,0.001,mse,72.22222222222221
4,relu,adam,8,0.001,5,0.001,hinge,0.0
4,relu,adam,8,0.001,5,0.001,log,
4,relu,adam,8,0.001,5,0.001,focal,
4,relu,adam,8,0.001,5,0.01,mse,80.0
4,relu,adam,8,0.001,5,0.01,hinge,0.0
4,relu,adam,8,0.001,5,0.01,log,
4,relu,adam,8,0.001,5,0.01,focal,
4,relu,adam,8,0.001,5,0.1,mse,72.22222222222221
4,relu,adam,8,0.001,5,0.1,hinge,0.0
4,relu,adam,8,0.001,5,0.1,log,
4,relu,adam,8,0.001,5,0.1,focal,
4,relu,adam,8,0.001,10,0.001,mse,73.33333333333333
4,relu,adam,8,0.001,10,0.001,hinge,0.0
4,relu,adam,8,0.001,10,0.001,log,
4,relu,adam,8,0.001,10,0.001,focal,
4,relu,adam,8,0.001,10,0.01,mse,83.87096774193549
4,relu,adam,8,0.001,10,0.01,hinge,0.0
4,relu,adam,8,0.001,10,0.01,log,
4,relu,adam,8,0.001,10,0.01,focal,
4,relu,adam,8,0.001,10,0.1,mse,83.87096774193549
4,relu,adam,8,0.001,10,0.1,hinge,0.0
4,relu,adam,8,0.001,10,0.1,log,
4,relu,adam,8,0.001,10,0.1,focal,
4,relu,adam,8,0.001,20,0.001,mse,84.61538461538461
4,relu,adam,8,0.001,20,0.001,hinge,0.0
4,relu,adam,8,0.001,20,0.001,log,
4,relu,adam,8,0.001,20,0.001,focal,
4,relu,adam,8,0.001,20,0.01,mse,82.75862068965517
4,relu,adam,8,0.001,20,0.01,hinge,0.0
4,relu,adam,8,0.001,20,0.01,log,
4,relu,adam,8,0.001,20,0.01,focal,
4,relu,adam,8,0.001,20,0.1,mse,72.22222222222221
4,relu,adam,8,0.001,20,0.1,hinge,0.0
4,relu,adam,8,0.001,20,0.1,log,
4,relu,adam,8,0.001,20,0.1,focal,
4,relu,adam,8,0.001,30,0.001,mse,72.22222222222221
4,relu,adam,8,0.001,30,0.001,hinge,60.60606060606061
4,relu,adam,8,0.001,30,0.001,log,
4,relu,adam,8,0.001,30,0.001,focal,
4,relu,adam,8,0.001,30,0.01,mse,92.3076923076923
4,relu,adam,8,0.001,30,0.01,hinge,0.0
4,relu,adam,8,0.001,30,0.01,log,
4,relu,adam,8,0.001,30,0.01,focal,
4,relu,adam,8,0.001,30,0.1,mse,78.57142857142857
4,relu,adam,8,0.001,30,0.1,hinge,0.0
4,relu,adam,8,0.001,30,0.1,log,
4,relu,adam,8,0.001,30,0.1,focal,
4,relu,adam,8,0.001,50,0.001,mse,92.85714285714286
4,relu,adam,8,0.001,50,0.001,hinge,52.17391304347826
4,relu,adam,8,0.001,50,0.001,log,
4,relu,adam,8,0.001,50,0.001,focal,
4,relu,adam,8,0.001,50,0.01,mse,85.71428571428571
4,relu,adam,8,0.001,50,0.01,hinge,0.0
4,relu,adam,8,0.001,50,0.01,log,
4,relu,adam,8,0.001,50,0.01,focal,
4,relu,adam,8,0.001,50,0.1,mse,76.47058823529412
4,relu,adam,8,0.001,50,0.1,hinge,0.0
4,relu,adam,8,0.001,50,0.1,log,
